train_size,model,accuracy,loss,seconds
512,phase_unitary,0.4998779296875,3.747714042663574,0.51
512,real_diag,0.5003662109375,0.6933027505874634,0.018
512,amplitude_only,0.4998779296875,1.0567271709442139,0.057
512,phase_scrambled,0.4998779296875,3.778257369995117,0.025
2048,phase_unitary,0.4998779296875,3.4294919967651367,0.072
2048,real_diag,0.4971923828125,0.6937395930290222,0.034
2048,amplitude_only,0.4998779296875,0.946907103061676,0.048
2048,phase_scrambled,0.4998779296875,3.57680606842041,0.061
8192,phase_unitary,0.4998779296875,1.4174649715423584,0.224
8192,real_diag,0.4964599609375,0.7521401643753052,0.113
8192,amplitude_only,0.4998779296875,0.7384530305862427,0.156
8192,phase_scrambled,0.4998779296875,2.4086830615997314,0.208
32768,phase_unitary,0.49755859375,0.7353156805038452,0.827
32768,real_diag,0.5013427734375,1.501083254814148,0.414
32768,amplitude_only,0.498046875,0.6937814354896545,0.578
32768,phase_scrambled,0.49560546875,0.7660245895385742,0.768
