train_size,layers,model,accuracy,loss,seconds,trainable_params,mix_mean,mix_min,mix_max,phase_abs_mean,phase_abs_max,gate_mean,gate_min,gate_max
4000000,1,real_attention_stacked,0.80708,0.4186955281829834,14.608,2929667,,,,,,0.1901615709066391,0.1901615709066391,0.1901615709066391
4000000,1,complex_attention_stacked,0.867948,0.33233062702941896,78.12,5693573,0.7979154586791992,0.7979154586791992,0.7979154586791992,0.615222692489624,1.658488154411316,,,
4000000,2,real_attention_stacked,0.843724,0.36900286320495607,24.597,2995460,,,,,,0.137771338224411,0.1280454844236374,0.14749719202518463
4000000,2,complex_attention_stacked,0.865172,0.3372474482269287,135.378,5694086,0.5650970339775085,0.5564020872116089,0.5737919807434082,0.502554714679718,1.7696599960327148,,,
4000000,4,real_attention_stacked,0.856008,0.3452742098999023,45.671,3127046,,,,,,0.12044836580753326,0.10370755940675735,0.13453973829746246
4000000,4,complex_attention_stacked,0.86456,0.3378684154510498,247.742,5695112,0.39093145728111267,0.3517996370792389,0.4148162305355072,0.4602371156215668,1.6895098686218262,,,
4000000,8,real_attention_stacked,0.861488,0.3344610509033203,87.699,3390218,,,,,,0.10010108351707458,0.09018972516059875,0.11455877870321274
4000000,8,complex_attention_stacked,0.87308,0.327412914932251,473.59,5697164,0.35403934121131897,0.2181207686662674,0.6194874048233032,0.4066186547279358,1.7009378671646118,,,
4000000,16,real_attention_stacked,0.866196,0.3241054053039551,171.932,3916562,,,,,,0.08384377509355545,0.0733027309179306,0.09242561459541321
4000000,16,complex_attention_stacked,0.69932,0.5747747550048828,918.462,5701268,0.3631444573402405,0.1947937309741974,0.725961446762085,0.2850167155265808,1.8053114414215088,,,
